Web_link,Product_Name,Brand_Name,Buy_Price,Low_Price,Sold_By
https://www.noon.com/uae-en/unisex-mi-1s-electric-scooter-108x114x43cm/N39770139A/p/?o=f689939bbdf2b58e,Unisex Mi 1S Electric Scooter 108x114x43cm,Xiaomi,AED 999.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/baby-diapers-size-4-7-14-kg-148-count-74-x-2-large-mega-pack-bundle-double-lock-technology-prevents-leakage/N23790357A/p/?o=a8765c322c5de6ec,"Baby Diapers, Size 4, 7 - 14 Kg, 148 Count (74 x 2) - Large, Mega Pack Bundle, Double Lock Technology Prevents Leakage",Fine Baby,AED 99.55 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/glass-food-container-set-with-airtight-bamboo-lids-clear-12-piece/N32034223A/p/?o=fbec633d9f0aa36c,Glass Food Container Set With Airtight Bamboo Lids Clear 12-Piece,noon east,AED 99.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/portable-handheld-vacuum-cleaner-1-2-l-400-w-dx115c-black-silver/N25281642A/p/?o=e2185f2a0dc4df9a,Portable Handheld Vacuum Cleaner 1.2 L 400 W DX115C Black/Silver,Deerma,AED 99.00 Inclusive of VAT,null,SKY TOUCH
https://www.noon.com/uae-en/16-piece-bullet-shaped-paint-marker-set-0-9-1-3-mm-multicolour/N34387833A/p/?o=c9c7280074ffb8cb,16-Piece Bullet Shaped Paint Marker Set 0.9-1.3 mm Multicolour,POSCA,AED 97.35 Inclusive of VAT,AED 97.40,MTHALIA
https://www.noon.com/uae-en/cool-water-edt-200ml/N19151439A/p/?o=ef9dd8c6135ba6aa,Cool Water EDT 200ml,DAVIDOFF,AED 95.00 Inclusive of VAT,AED 110.00,noon
https://www.noon.com/uae-en/club-de-nuit-intense-edt-105ml/N14042729A/p/?o=cfd09029b5acfb6d,Club De Nuit Intense EDT 105ml,ARMAF SERIES,AED 94.00 Inclusive of VAT,AED 95.00,noon
https://www.noon.com/uae-en/medicated-quilted-folding-mattress-white-single/N14341254A/p/?o=f9c238733ce123af,Medicated Quilted Folding Mattress White Single,Comfy,AED 94.00 Inclusive of VAT,AED 85.00,Comfy BeanBags
https://www.noon.com/uae-en/dumbbells-set-for-home-gym-work-out-training-20kg/N38712577A/p/?o=b16490ed7b7da6ac,Dumbbells Set For Home Gym Work Out Training 20kg,Rock Pow,AED 93.00 Inclusive of VAT,null,world solution technology
https://www.noon.com/uae-en/galaxy-m52-dual-sim-black-8gb-ram-128gb-5g-middle-east-version/N51315010A/p/?o=f42132f6447d3bab,Galaxy M52 Dual SIM Black 8GB RAM 128GB 5G - Middle East Version,Samsung,AED 907.90 Inclusive of VAT,AED 920.00,noon
https://www.noon.com/uae-en/colossal-kajal-argan-oil-khol-eyeliner-long-lasting-up-to-12h-black/N20426193A/p/?o=c8c536c88e3c51cd,"Colossal Kajal Argan Oil Khol Eyeliner, Long Lasting Up to 12H Black",MAYBELLINE NEW YORK,AED 9.90 Inclusive of VAT,null,L’OREAL PARIS : The Official Store
https://www.noon.com/uae-en/viva-facial-tissue-5-boxes-x-150-sheets-x-2-ply-white/N47118205A/p/?o=f4a81a2dcc016cee,Viva Facial Tissue 5 Boxes X 150 Sheets X 2 Ply White,BUNNY,AED 9.45 Inclusive of VAT,null,VIVA
https://www.noon.com/uae-en/mi-360-1080p-camera/N48103029A/p/?o=f2ba3db27135fb0e,Mi 360° 1080P Camera,Xiaomi,AED 89.85 Inclusive of VAT,AED 98.95,noon
https://www.noon.com/uae-en/c6n-wi-fi-2mp-1080p-smart-home-security-camera-white/N31172715A/p/?o=f2ca8869dc8496ce,C6N Wi-Fi 2MP 1080P Smart Home Security Camera White,EZVIZ,AED 89.00 Inclusive of VAT,AED 105.00,noon
https://www.noon.com/uae-en/eternity-aqua-edt-3-4-fl-oz-100ml/N11201986A/p/?o=b117ea7e11df1c7f,Eternity Aqua EDT 3.4 Fl Oz/ 100ml,CALVIN KLEIN,AED 88.00 Inclusive of VAT,AED 88.65,noon
https://www.noon.com/uae-en/mi-electric-scooter-essential/N39905470A/p/?o=b7a5a7d6e58e87db,Mi Electric Scooter Essential,Xiaomi,AED 878.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/al-wisam-day-edp-100ml/N12890397A/p/?o=f177209c1464ebfb,Al Wisam Day EDP 100ml,Rasasi,AED 87.00 Inclusive of VAT,AED 87.90,noon
https://www.noon.com/uae-en/nord-ce-2-lite-dual-sim-blue-8gb-ram-128gb-5g-international-version/N53091870A/p/?o=f8ecdf1e5824da9b,Nord CE 2 Lite Dual Sim Blue 8GB RAM 128GB 5G - International Version,OnePlus,AED 855.00 Inclusive of VAT,AED 855.00,callmate
https://www.noon.com/uae-en/solid-multi-purpose-bean-bag-with-polystyrene-filling-black-80x80x50cm/N12741301A/p/?o=f5978cbfb6220f2f,Solid Multi-Purpose Bean Bag With Polystyrene Filling Black 80x80x50cm,Comfy,AED 85.00 Inclusive of VAT,AED 99.00,REDDISH STORE
