Web_link-href,Noon SKU,Product_Name,Brand_Name,Buy_Price,Low_Price,Sold_By
https://www.noon.com/uae-en/xbox-series-s-512-gb-digital-console-with-wireless-controller/N40635117A/p/?o=b36cf35db3cec76e,N40635117A,Xbox Series S 512 GB Digital Console With Wireless Controller,Microsoft,AED 1069.00 Inclusive of VAT,AED 1039.00,noon
https://www.noon.com/uae-en/99-9-water-ultra-mild-original-baby-wipes-for-sensitive-skin-bpa-free-fragrance-free-12-packs-of-60-wipes-720-wipes/N12665031A/p/?o=f468808d2bb9c72d,N12665031A,"99.9% Water Ultra-Mild Original Baby Wipes For Sensitive Skin, Bpa Free, Fragrance-Free, 12 Packs Of 60 Wipes, 720 Wipes",WaterWipes,AED 195.00 Inclusive of VAT,AED 201.00,noon
https://www.noon.com/uae-en/2-piece-electric-dancing-cactus-plant-toys/N49810256A/p/?o=ada4dac0741f024f,N49810256A,2-Piece Electric Dancing Cactus Plant Toys,Marrkhor,AED 45.00 Inclusive of VAT,AED 38.70,Fiyastar
https://www.noon.com/uae-en/playstation-5-console-disc-version-with-extra-wireless-controller-international-version/N42342017A/p/?o=e2928d4ea33d845c,N42342017A,PlayStation 5 Console (Disc Version) With Extra Wireless Controller - International Version,Sony,AED 2959.00 Inclusive of VAT,AED 2810.00,Futurestore
https://www.noon.com/uae-en/50-inch-4k-uhd-hdr-smart-tv-vidaa-os-50a6ge-black/N46959532A/p/?o=ff35f86e281a933f,N46959532A,50-Inch 4K UHD HDR Smart TV Vidaa OS 50A6GE Black,Hisense,AED 1299.00 Inclusive of VAT,AED 1339.00,noon
https://www.noon.com/uae-en/neo-hair-lotion-120ml/N37619548A/p/?o=fb1b04b8ac036e0f,N37619548A,Neo Hair Lotion 120ml,Green Wealth,AED 125.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/nord-ce-2-lite-dual-sim-blue-8gb-ram-128gb-5g-international-version/N53091870A/p/?o=f8ecdf1e5824da9b,N53091870A,Nord CE 2 Lite Dual Sim Blue 8GB RAM 128GB 5G - International Version,OnePlus,AED 855.00 Inclusive of VAT,AED 855.00,callmate
https://www.noon.com/uae-en/c6n-wi-fi-2mp-1080p-smart-home-security-camera-white/N31172715A/p/?o=f2ca8869dc8496ce,N31172715A,C6N Wi-Fi 2MP 1080P Smart Home Security Camera White,EZVIZ,AED 99.00 Inclusive of VAT,AED 105.00,noon
https://www.noon.com/uae-en/brow-styling-soap-clear/N49964841A/p/?o=fe4d8836fb3a868a,N49964841A,Brow Styling Soap Clear,Beckisue,AED 11.00 Inclusive of VAT,AED 11.00,KOKO STORE
https://www.noon.com/uae-en/electric-mechanical-air-fryer-1-8-l-1000-w-gaf37516-black/N31867147A/p/?o=c2b6fdfc47fbb2be,N31867147A,Electric Mechanical Air Fryer 1.8 L 1000 W GAF37516 Black,GEEPAS,AED 119.00 Inclusive of VAT,AED 139.00,Western International (L.L.C.)
https://www.noon.com/uae-en/iphone-13-128gb-pink-5g-with-facetime-international-specs/N50838986A/p/?o=e8b61ece949bf1fd,N50838986A,iPhone 13 128GB Pink 5G With Facetime - International Specs,Apple,AED 2965.00 Inclusive of VAT,AED 2970.00,Khalid Lemar
https://www.noon.com/uae-en/airpods-with-charging-case-white/N22732308A/p/?o=fa5a1a996375002a,N22732308A,Airpods With Charging Case White,Apple,AED 435.00 Inclusive of VAT,AED 429.00,A2Z mobiles
https://www.noon.com/uae-en/galaxy-a32-dual-sim-awesome-black-6gb-ram-128gb-4g-lte-middle-east-version/N44806993A/p/?o=f66de5354a2d559c,N44806993A,Galaxy A32 Dual SIM Awesome Black 6GB RAM 128GB 4G LTE- Middle East Version,Samsung,AED 732.00 Inclusive of VAT,AED 729.00,Khalid Lemar
https://www.noon.com/uae-en/premium-care-baby-diapers-newborn-size-2-3-8-kg-168-count-mega-box-helps-prevent-rashes/N19461869A/p/?o=c1c9bfb607f1eb6a,N19461869A,"Premium Care Baby Diapers, Newborn, Size 2, 3 - 8 Kg, 168 Count - Mega Box, Helps Prevent Rashes",Pampers,AED 112.65 Inclusive of VAT,AED 150.00,noon
https://www.noon.com/uae-en/iphone-13-pro-max-128gb-sierra-blue-5g-with-facetime-international-specs/N50840186A/p/?o=a495fc8de4abacaf,N50840186A,iPhone 13 Pro Max 128GB Sierra Blue 5G With Facetime - International Specs,Apple,AED 4259.00 Inclusive of VAT,AED 4225.00,Electronics Collection
https://www.noon.com/uae-en/steam-iron-with-non-stick-soleplate-self-clean-function-300-ml-1750-w-x1600-green-white/N35124096A/p/?o=d7bff9bfebd5d94d,N35124096A,Steam Iron with Non-Stick Soleplate/Self Clean Function 300 ml 1750 W X1600 Green/White,BLACK+DECKER,AED 59.00 Inclusive of VAT,AED 58.90,BlueOceanGlobal-UAE
https://www.noon.com/uae-en/shoe-rack-5-shelves-with-stainless-steel-frame-grey-60x30x90cm/N24214887A/p/?o=e3d133b735bc248b,N24214887A,Shoe Rack 5 Shelves With Stainless Steel Frame Grey 60x30x90cm,ALMUFARREJ,AED 32.00 Inclusive of VAT,AED 24.00,TIK TIK
https://www.noon.com/uae-en/2-piece-double-wall-glass-cup-set-clear-240ml/N22851369A/p/?o=a42a29cf4207035a,N22851369A,2-Piece Double Wall Glass Cup Set Clear 240ml,CRISTAL,AED 19.00 Inclusive of VAT,AED 16.00,world solution technology
https://www.noon.com/uae-en/50-piece-3d-face-mask/N43807483A/p/?o=c7e440c70d2c2b0f,N43807483A,50 Piece 3D Face Mask,Swift,AED 42.20 Inclusive of VAT,AED 41.95,SWIFT-UAE
https://www.noon.com/uae-en/skin-active-fast-bright-30x-vitamin-c-serum-anti-dark-spot-30ml/N45380432A/p/?o=b66f03e6785ce1dc,N45380432A,"Skin Active Fast Bright 30x Vitamin C Serum, Anti Dark Spot 30ml",GARNIER,AED 37.10 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/hero10-black-action-camera/N50959420A/p/?o=fcde5e75e43a9c0d,N50959420A,Hero10 Black Action Camera,GoPro,AED 1499.00 Inclusive of VAT,AED 1499.00,Futurestore
https://www.noon.com/uae-en/galaxy-a13-dual-sim-light-blue-4gb-ram-64gb-4g-middle-east-version/N52856958A/p/?o=e77607e10201707a,N52856958A,Galaxy A13 Dual SIM Light Blue 4GB RAM 64GB 4G - Middle East Version,Samsung,AED 542.00 Inclusive of VAT,AED 537.00,Khalid Lemar
https://www.noon.com/uae-en/nord-ce-2-dual-sim-gray-mirror-8gb-ram-128gb-5g-international-version/N52751033A/p/?o=a800afd36415c73d,N52751033A,Nord CE 2 Dual SIM Gray Mirror 8GB RAM 128GB 5G - International Version,OnePlus,AED 1049.00 Inclusive of VAT,AED 1100.00,callmate
https://www.noon.com/uae-en/galaxy-m12-dual-sim-black-4gb-ram-64gb-4g-lte-middle-east-version/N45062331A/p/?o=f4c04271a1a7aa7a,N45062331A,Galaxy M12 Dual SIM Black 4GB RAM 64GB 4G LTE - Middle East Version,Samsung,AED 490.00 Inclusive of VAT,AED 479.00,Deals Central
https://www.noon.com/uae-en/10-piece-3d-brick-pattern-decorative-wallpaper-set-off-white-70-x-70cm/N27357160A/p/?o=a273f23ccef9336c,N27357160A,10-Piece 3D Brick Pattern Decorative Wallpaper Set Off White 70 x 70cm,Cool Baby,AED 39.95 Inclusive of VAT,AED 34.00,Dali LLC
